1111013640,50,0.209,4,0,25
1109889304,50,0.268,3,0,16
1113751921,50,0.152,4,0,20
1048189115,50,0.277,4,0,18
1047969464,50,0.166,3,0,18
1049514117,50,0.218,4,0,10
1052533639,50,0.219,4,0,14
1053941483,50,0.133,4,0,20
1055415082,50,0.248,3,0,16
1064639378,50,0.209,4,0,18
1065905010,50,0.172,4,0,16
1069461581,50,0.222,4,0,18
1081079981,50,0.267,3,0,16
1081429294,50,0.25,4,0,14
1086200042,50,0.17,4,0,16
1086410738,50,0.136,3,0,14
1087720624,50,0.172,4,0,14
1087992708,100,0.159,4,0,14
1091039376,50,0.223,3,0,16
1091039902,50,0.261,4,0,20
1095340643,50,0.156,4,0,16
1098119201,0,0.038,2,0,6
