session,predictor,target,direction,r2,time,cv,lag,rank
1111013640,VISl,VISp,top-down,10-12%,,2,,16
1108334384,VISl,VISp,top-down,11-15%,,2,,14
1112515874,VISl,VISp,top-down,6-16%,,3,6,12
1112302803,VISl,VISp,top-down,8%,,3,,14
1109889304,VISl,VISp,top-down,18-21%,,5,,18
1113751921,VISl,VISp,top-down,8.5-13%,,4,,20
1048189115,VISl,VISp,top-down,15-18.5%,,5,,18
1047969464,VISl,VISp,top-down,9-15.5%,,5,,16
1049514117,VISl,VISp,top-down,4-24%,,2,,8
1052533639,VISl,VISp,top-down,16-18%,,4,,20
1053718935,VISl,VISp,top-down,12.5-13%,,4,,18
1053941483,VISl,VISp,top-down,7-11%,,2,,16
1055415082,VISl,VISp,top-down,13-19.5%,,2,,12
1062755779,VISl,VISp,top-down,4.5-8%,,5,,12
1063010385,VISl,VISp,top-down,11.5-13%,,2,,10
1064639378,VISl,VISp,top-down,13.5-18%,,4,,20
1065905010,VISl,VISp,top-down,9-11%,,4,,20
1065908084,VISl,VISp,top-down,6.5-8.5%,,2,3,10
1067588044,VISl,VISp,top-down,15%,,2,,12
1067781390,VISl,VISp,top-down,12-13.5%,,2,,12
1069461581,VISl,VISp,top-down,13.50%,,2,,16
1071300149,VISl,VISp,top-down,10-11.5%,,2,,14
1081079981,VISl,VISp,top-down,14-18.5%,,4,,12
1081429294,VISl,VISp,top-down,16.5-18%,,4,3,14
1086200042,VISl,VISp,top-down,7.5-9%,,4,3,10
1086410738,VISl,VISp,top-down,5.5-12%,,5,,14
1087720624,VISl,VISp,top-down,9.5-25%,,3,,12
1087992708,VISl,VISp,top-down,12.5-15%,,2,,10
1090803859,VISl,VISp,top-down,7.5-9%,,2,,12
1091039376,VISl,VISp,top-down,8-15%,,2,,12
1091039902,VISl,VISp,top-down,13-14%,,2,,12
1093864136,VISl,VISp,top-down,6-12%,,2,,4
1095340643,VISl,VISp,top-down,10-13.5%,,3,,14
1098119201,VISl,VISp,top-down,8.5-10.5%,,2,,12
1111013640,VISl,VISp,bottom-up,10-12%,,2,,16
1108334384,VISp,VISl,bottom-up,11-15%,,3,3,18
1112515874,VISp,VISl,bottom-up,6-16%,,2,5,12
1112302803,VISp,VISl,bottom-up,8%,,2,2,14
1109889304,VISp,VISl,bottom-up,18-21%,,2,3,8
1113751921,VISp,VISl,bottom-up,8.5-13%,,2,,10
1048189115,VISp,VISl,bottom-up,15-18.5%,,3,,16
1047969464,VISp,VISl,bottom-up,9-15.5%,,3,,18
1049514117,VISp,VISl,bottom-up,4-24%,,5,,10
1052533639,VISp,VISl,bottom-up,16-18%,,4,,16
1053718935,VISp,VISl,bottom-up,12.5-13%,,4,,18
1053941483,VISp,VISl,bottom-up,7-11%,,4,,12
1055415082,VISp,VISl,bottom-up,13-19.5%,,4,,20
1062755779,VISp,VISl,bottom-up,4.5-8%,,3,,10
1063010385,VISp,VISl,bottom-up,11.5-13%,,4,,14
1064639378,VISp,VISl,bottom-up,13.5-18%,,2,,16
1065905010,VISp,VISl,bottom-up,9-11%,,4,,16
1065908084,VISp,VISl,bottom-up,6.5-8.5%,,4,,12
1067588044,VISp,VISl,bottom-up,15%,,5,,18
1067781390,VISp,VISl,bottom-up,12-13.5%,,5,,2
1069461581,VISp,VISl,bottom-up,13.50%,,3,,20
1071300149,VISp,VISl,bottom-up,10-11.5%,,2,,8
1081079981,VISp,VISl,bottom-up,14-18.5%,,4,,12
1081429294,VISp,VISl,bottom-up,16.5-18%,,3,,18
1086200042,VISp,VISl,bottom-up,7.5-9%,,2,,10
1086410738,VISp,VISl,bottom-up,5.5-12%,,3,,10
1087720624,VISp,VISl,bottom-up,9.5-25%,,3,,14
1087992708,VISp,VISl,bottom-up,12.5-15%,,2,,12
1090803859,VISp,VISl,bottom-up,7.5-9%,,2,,12
1091039376,VISp,VISl,bottom-up,8-15%,,2,,6
1091039902,VISp,VISl,bottom-up,13-14%,,2,,20
1093864136,VISp,VISl,bottom-up,6-12%,,2,,10
1095340643,VISp,VISl,bottom-up,10-13.5%,,4,,25
1098119201,VISp,VISl,bottom-up,8.5-10.5%,,2,,8
